"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr19725","Burnett Koala Program","","Burnett Koala Program: Burnett Catchment Care Association (2022) Burnett Koala Program dataset
","other","For more information: https://collections.ala.org.au/public/show/dr19725","","","","24"
"dr14477","Annual  community koala surveys North Stradbroke Island Townships","10.15468/ecj2ja","North Stradbroke Island townships annual community survey – Redland City Council and community volunteers","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr14477","","","","689"
"co157","Queen Victoria Museum and Art Gallery - Mammals","","Records provided by Queen Victoria Museum and Art Gallery - Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co157","","","","3"
"co274","Museums Victoria DNA Laboratory","","Records provided by Museums Victoria DNA Laboratory, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co274","","","","84"
"dr11049","Martin Butterfield Mallacoota Observations","10.15468/vv31t9","Martin Butterfield, Mallacoota Observations, 2019","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Martin Butterfield","For more information: https://collections.ala.org.au/public/show/dr11049","","","","9"
"dp52","Questagame","","Records provided by Questagame, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp52","","","","901"
"co150","Queensland Museum Mammals","","Records provided by Queensland Museum Mammals, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co150","","","","694"
"dr10631","Geelong Field Naturalists Club","10.15468/gwji3b","Records provided by Geelong Field Naturalists Club, accessed through ALA website.","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr10631","","","","138"
"dr22499","Museum of Comparative Zoology, Harvard University","10.15468/p5rupv","doi:10.15468/p5rupv","CC BY-NC","For more information: https://collections.ala.org.au/public/show/dr22499","","","","16"
"dr1097","Victorian Biodiversity Atlas","10.15468/khlfs3","Records provided by Victorian Biodiversity Atlas, accessed through ALA website.","Creative Commons Attribution (International) (CC-BY 4.0 (Int)) Copyright in the data and materials resides with the copyright owners as indicated next to the detailed records. In any reproduction, distribution or publication of the data, or in any use or adaptation of the data to create derivative works, the user must include a citation which attributes the source of the data and the date the data was published, as follows: Data Source: 'Victorian Biodiversity Atlas', © The State of Victoria, Department of Environment and Primary Industries (published [month, year]). Data Source: 'Victorian Biodiversity Atlas', (c) The State of Victoria, Department of Environment, Land, Water & Planning (published [month, year]). 
        Creative Commons Attribution-Noncommercial (International) (CC-BY-NC 4.0 (Int) 4.0)","For more information: https://collections.ala.org.au/public/show/dr1097","","","","12711"
"co118","Museums Victoria Mammalogy Collection","","Records provided by Museums Victoria Mammalogy Collection, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/co118","","","","606"
"dr13823","OWAD Environment detection dogs Koala records","10.15468/67pbns","Woosnam O, Dudkowski A, and professional detection dogs (OWAD Environment). Koala and Quoll records collected during studies conducted by OWAD Environment.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr13823","","","","1374"
"dp3301","NatureMapr","","Records provided by NatureMapr, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3301","","","","401"
"dr6463","Great Koala Count 2","10.15468/zj23oo","Great Koala Count 2, (https://biocollect.ala.org.au/acsa/project/index/88f6c3b8-e2ab-4f04-97bc-881e84204bfc)","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr6463","","","","8"
"dr1132","WildNet - Queensland Wildlife Data","10.15468/lxgoyb","The State of Queensland DETSI (2025) WildNet.","Creative Commons Attribution (International) (CC-BY 4.0 (Int))","For more information: https://collections.ala.org.au/public/show/dr1132","","Data not approved for public release","","70174"
"dr344","Queensland Museum provider for OZCAM","10.15468/lotsye","Queensland Museum, http://www.qm.qld.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr344","","","","694"
"dr343","Northern Territory Museum and Art Gallery provider for OZCAM","10.15468/giro3a","Northern Territory Museum and Art Gallery, https://www.magnt.net.au/","Creative Commons Attribution (Australia) (CC-BY 3.0 (Au))","For more information: https://collections.ala.org.au/public/show/dr343","","","","14"
"dr346","South Australian Museum Adelaide provider for OZCAM","10.15468/wz4rrh","South Australian Museum, http://www.samuseum.sa.gov.au/","CC-BY","For more information: https://collections.ala.org.au/public/show/dr346","","","","99"
"dp3903","BioCollect","","Records provided by BioCollect, accessed through ALA website.","","For more information: https://collections.ala.org.au/public/show/dp3903","","","","6619"
"dr1411","iNaturalist Australia","","iNaturalist.org: iNaturalist Research-grade Observations. doi:10.15468/ab3s5x
Accessed via http://www.gbif.org/dataset/50c9509d-22c7-4a22-a47d-8c48425ef4a7 on 2017-03-16","","For more information: https://collections.ala.org.au/public/show/dr1411","","","","32547"
