"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","identifier","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","associatedOccurrences","georeferenceVerificationStatus","recordedByID","recordID","degreeOfEstablishment","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks"
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","8000","","","Rod Hobson's incidental records","Rod Hobson's wildlife data","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3841169","","","","","3","Accurate","","","","","","PRESENT","","","","","","","","","","","","6b799e96-4792-4e81-b290-5702a72c0a89","","","","","","","","Australia","AU","Queensland","","","Epping Forest National Park (Scientific), CEQ.","","","","","","","","","","","","-22.34815","146.70362","EPSG:4326","1000.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988924","","","","","","","","","","","","PRESENT","","","","","","","","","","","","b62e87ff-05e1-406f-8468-cb856b8442c9","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#1)","","","","","","","","","","","","-22.3526","146.6928","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988928","","","","","","","","","","","","PRESENT","","","","","","","","","","","","e7a81baf-4c8c-467e-ba8a-3d4d53470232","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#4)","","","","","","","","","","","","-22.37899","146.69835","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1641","","","Gordon (1973)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988827","","","","","","","","","","","","PRESENT","","","","","","","","","","","","f1c83add-4d91-4235-96d5-fc40898d300e","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#2)","","","","","","","","","","","","-22.3651","146.68863","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","5","","","Central Coast Wildlife Atlas - Fitzroy","Integrated Biological Information System (IBIS)","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:1585732","","","","","2","Accurate","","","","","","PRESENT","","","","","","","","","","","","1bd94a6c-a7ec-47e7-a8a5-520d1b8b1be1","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.34293","146.69036","EPSG:4326","500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988927","","","","","","","","","","","","PRESENT","","","","","","","","","","","","80fe5a82-7f72-40ec-83aa-b673c5d477a6","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#2)","","","","","","","","","","","","-22.3651","146.68863","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988926","","","","","","","","","","","","PRESENT","","","","","","","","","","","","b3ccf68a-615f-4cd1-8116-061c30589530","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#5)","","","","","","","","","","","","-22.34843","146.68446","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","6985","","","Hoyle etal. (1995)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3797512","","","","","","","","","","","","PRESENT","","","","","","","","","","","","7dac2bf7-6676-4648-9746-bcc1961043c3","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70945","EPSG:4326","3500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988931","","","","","","","","","","","","PRESENT","","","","","","","","","","","","5522ef6c-76fe-4695-95de-d027d5a2b961","","","","","","","","Australia","AU","Queensland","","","SE Sandy Camp WH, Belyando R, 10km W Epping Forest","","","","","","","","","","","","-22.3401","146.60113","EPSG:4326","1800.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","9","","","Central Coast Wildlife Atlas - Rockhampton","Integrated Biological Information System (IBIS)","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:1581794","","","","","1","Accurate","","","","","","PRESENT","","","","","","","","","","","","37417e33-3020-4f57-910d-125e2dba1624","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3776","146.7053","EPSG:4326","500.0","","","","","","","","","","","",""
