"Column name","Requested field","DwC Name","Field name","Field description","Download field name","Download field description","More information"
"dataResourceUid","dataResourceUid","","dataResourceUid","Dataset","dataResourceUid","Data Resource ID","A list (concatenated and separated) of preparations and preservation methods for a specimen."
"dataResourceName","dataResourceName","","dataResourceName","Dataset","dataResourceName","Data Resource Name","The data resource that supplies the record. This is typically a CSV or DwCA file, or a webservice."
"images","imageIDs","images","imageIDs","images","imageIDs","images","Image URLs for this record http://rs.tdwg.org/dwc/terms/images"
"dcterms:modified","modified","dcterms:modified","modified","","modified","",""
"dcterms:language","language","dcterms:language","language","","language","","Language of the record"
"dcterms:license","license","dcterms:license","license","License","license","Licence","The license applying to a record."
"rightsHolder","rightsHolder","dcterms:rightsHolder","rightsHolder","","rightsHolder","",""
"dcterms:accessRights","accessRights","dcterms:accessRights","accessRights","Access rights","accessRights","",""
"dcterms:bibliographicCitation","bibliographicCitation","dcterms:bibliographicCitation","bibliographicCitation","","bibliographicCitation","","Bibliographic citation for this record"
"references","references","dcterms:references","references","","references","",""
"institutionID","institutionID","institutionID","institutionID","Institution ID","institutionID","","http://rs.tdwg.org/dwc/terms/institutionID"
"collectionID","collectionID","collectionID","collectionID","Collection","collectionID","","http://rs.tdwg.org/dwc/terms/collectionID"
"datasetID","datasetID","datasetID","datasetID","Dataset ID","datasetID","","http://rs.tdwg.org/dwc/terms/datasetID"
"institutionCode","institutionCode","institutionCode","institutionCode","Institution Code","institutionCode","Institution Code","The institution code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/institutionCode"
"collectionCode","collectionCode","collectionCode","collectionCode","Collection","collectionCode","Collection Code","The collection code for this record. This will be populated if the data has come from a museum or herbaria http://rs.tdwg.org/dwc/terms/collectionCode"
"datasetName","datasetName","datasetName","datasetName","Dataset name / Survey name","datasetName","","The name of the dataset for this record. Typically used to share the name of the survey when data has been supplied with multiple surveys in a single data resource. http://rs.tdwg.org/dwc/terms/datasetName"
"ownerInstitutionCode","ownerInstitutionCode","ownerInstitutionCode","ownerInstitutionCode","Owner Institution Code","ownerInstitutionCode","","http://rs.tdwg.org/dwc/terms/ownerInstitutionCode"
"basisOfRecord","basisOfRecord","basisOfRecord","basisOfRecord","Record type","basisOfRecord","Basis Of Record","What this is a record of e.g. specimen, human observation, fossil http://rs.tdwg.org/dwc/terms/basisOfRecord"
"informationWithheld","informationWithheld","informationWithheld","informationWithheld","Information withheld during processing","informationWithheld","Information withheld during processing","http://rs.tdwg.org/dwc/terms/informationWithheld"
"dataGeneralizations","dataGeneralizations","dataGeneralizations","dataGeneralizations","Data Generalised during processing","dataGeneralizations","Data Generalised during processing","http://rs.tdwg.org/dwc/terms/dataGeneralizations"
